DATE,SFTPAGRM158SFRBSF
1971-05-01,0.1687188822286283
1971-06-01,0.1393442108337688
1971-07-01,0.10590470068286928
1971-08-01,0.08349886558094588
1971-09-01,0.09197822434664227
1971-10-01,0.14889049998062376
1971-11-01,0.2785037734115192
1971-12-01,0.43684896353400227
1972-01-01,0.4532082057186042
1972-02-01,0.27436019513353793
1972-03-01,0.08503395113507617
1972-04-01,-0.010204977935612813
1972-05-01,-0.016569304851424493
1972-06-01,0.03140511548552527
1972-07-01,0.08932194560447226
1972-08-01,0.1200626082549392
1972-09-01,0.16639485781501806
1972-10-01,0.2452898709977902
1972-11-01,0.3354228831801862
1972-12-01,0.3774207031404784
1973-01-01,0.3534686382279
1973-02-01,0.31590310505661856
1973-03-01,0.3057209853790852
1973-04-01,0.3110023841613836
1973-05-01,0.2948860041905952
1973-06-01,0.23958687476624618
1973-07-01,0.18706457498959184
1973-08-01,0.2324926396497371
1973-09-01,0.3119018049149671
1973-10-01,0.3628065051942071
1973-11-01,0.3366473534650598
1973-12-01,0.2502090021430343
1974-01-01,0.16778511178497268
1974-02-01,0.09089524490479373
1974-03-01,0.05630742926599219
1974-04-01,0.12037117696679811
1974-05-01,0.26942649694161225
1974-06-01,0.3645031076534464
1974-07-01,0.342872593050797
1974-08-01,0.33600065354780306
1974-09-01,0.4080534572191019
1974-10-01,0.3031748543784931
1974-11-01,0.09049012375453258
1974-12-01,-0.06963471650502762
1975-01-01,-0.15219401173980374
1975-02-01,-0.18195996378579915
1975-03-01,-0.18239239147173436
1975-04-01,-0.19060326548715223
1975-05-01,-0.18821504799930955
1975-06-01,-0.15258937728199817
1975-07-01,-0.0841058389546957
1975-08-01,-0.02670910646666702
1975-09-01,0.0034936466042148062
1975-10-01,0.01869954569618293
1975-11-01,0.06253036380546706
1975-12-01,0.16499660099603286
1976-01-01,0.28885320664077074
1976-02-01,0.4117961127479772
1976-03-01,0.5226937109030321
1976-04-01,0.5952446242636726
1976-05-01,0.6020362839524884
1976-06-01,0.5632914454602138
1976-07-01,0.5568959871719728
1976-08-01,0.5845254939826567
1976-09-01,0.6286322061548528
1976-10-01,0.6297552519974905
1976-11-01,0.5636742143112641
1976-12-01,0.46115405300602497
1977-01-01,0.38139257229125456
1977-02-01,0.38289553010965305
1977-03-01,0.3865580466275138
1977-04-01,0.374908932450172
1977-05-01,0.32401930410258517
1977-06-01,0.28773435860991015
1977-07-01,0.2953001996429696
1977-08-01,0.3398968500755011
1977-09-01,0.3674026662681167
1977-10-01,0.34271580123179146
1977-11-01,0.27446595730352175
1977-12-01,0.224688157351409
1978-01-01,0.26506696885183567
1978-02-01,0.43444423626597883
1978-03-01,0.606245802801155
1978-04-01,0.627727126934766
1978-05-01,0.5425567510955112
1978-06-01,0.4560537261559263
1978-07-01,0.40549425528649796
1978-08-01,0.3972351045682323
1978-09-01,0.39740068672185047
1978-10-01,0.4001932935219341
1978-11-01,0.3992708678096435
1978-12-01,0.3970307553897716
1979-01-01,0.38989661220877636
1979-02-01,0.3324091911417346
1979-03-01,0.25424830832667644
1979-04-01,0.24024852361231042
1979-05-01,0.331366299937921
1979-06-01,0.4220906356402163
1979-07-01,0.4231422015111901
1979-08-01,0.3780181669616811
1979-09-01,0.3632158119974922
1979-10-01,0.40686428221172255
1979-11-01,0.4449535949664465
1979-12-01,0.4190816769361758
1980-01-01,0.348261108138485
1980-02-01,0.2842700462172323
1980-03-01,0.24784753500531198
1980-04-01,0.2567656377395737
1980-05-01,0.28612847103713945
1980-06-01,0.3068572878388778
1980-07-01,0.31174445828633823
1980-08-01,0.2792575175215395
1980-09-01,0.24320938319105068
1980-10-01,0.22431544686023153
1980-11-01,0.2378675451944683
1980-12-01,0.27160116001195767
1981-01-01,0.3004960335909279
1981-02-01,0.2999771353090599
1981-03-01,0.30046430851496053
1981-04-01,0.3150606506567628
1981-05-01,0.30302460684071897
1981-06-01,0.287346774551519
1981-07-01,0.29205238765619934
1981-08-01,0.31310621786387505
1981-09-01,0.30673394995370296
1981-10-01,0.26376271733460666
1981-11-01,0.2184057410611997
1981-12-01,0.21865212328208883
1982-01-01,0.24655805213858262
1982-02-01,0.2231883168932154
1982-03-01,0.07978917504270511
1982-04-01,-0.046630265468452614
1982-05-01,-0.09575959805205536
1982-06-01,-0.08195586622676099
1982-07-01,-0.05888600853697601
1982-08-01,-0.05973847100900087
1982-09-01,-0.04567783305077666
1982-10-01,-0.017046872318747353
1982-11-01,0.057821867037658015
1982-12-01,0.16471061480356353
1983-01-01,0.2510456724481249
1983-02-01,0.29356106446947106
1983-03-01,0.3199024759589113
1983-04-01,0.3260190217885004
1983-05-01,0.31030689440784065
1983-06-01,0.28647739655277094
1983-07-01,0.25217375800816244
1983-08-01,0.2570900694742013
1983-09-01,0.37869398358132633
1983-10-01,0.4623132016735656
1983-11-01,0.43003342906912856
1983-12-01,0.34231526337792717
1984-01-01,0.29344635147018616
1984-02-01,0.31860248508986233
1984-03-01,0.38691516972763873
1984-04-01,0.44243893285447955
1984-05-01,0.4444853893677474
1984-06-01,0.40273438176933807
1984-07-01,0.35272953445310096
1984-08-01,0.31576043873659954
1984-09-01,0.3042986616837058
1984-10-01,0.30540012429408114
1984-11-01,0.25429286921349714
1984-12-01,0.14464555250039268
1985-01-01,0.03685117921172165
1985-02-01,-0.033320923508013744
1985-03-01,-0.0490654452605328
1985-04-01,-0.03719814682550571
1985-05-01,-0.013661657517542669
1985-06-01,-0.03417362245232136
1985-07-01,-0.0680040077115055
1985-08-01,-0.04115941626048025
